movieId,title,genres,poster
28,Persuasion (1995),Drama|Romance,./static/Pictures/Persuasion (1995).jpeg
29,"City of Lost Children, The (Cité des enfants perdus, La) (1995)",Adventure|Drama|Fantasy|Mystery|Sci-Fi,"./static/Pictures/City of Lost Children, The (Cité des enfants perdus, La) (1995).jpeg"
30,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),Crime|Drama,./static/Pictures/Shanghai Triad (Yao a yao yao dao waipo qiao) (1995).jpeg
31,Dangerous Minds (1995),Drama,./static/Pictures/Dangerous Minds (1995).jpeg
32,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Mystery|Sci-Fi|Thriller,./static/Pictures/Twelve Monkeys (a.k.a. 12 Monkeys) (1995).jpeg
34,Babe (1995),Children|Drama,./static/Pictures/Babe (1995).jpeg
36,Dead Man Walking (1995),Crime|Drama,./static/Pictures/Dead Man Walking (1995).jpeg
38,It Takes Two (1995),Children|Comedy,./static/Pictures/It Takes Two (1995).jpeg
39,Clueless (1995),Comedy|Romance,./static/Pictures/Clueless (1995).jpeg
40,"Cry, the Beloved Country (1995)",Drama,"./static/Pictures/Cry, the Beloved Country (1995).jpeg"
41,Richard III (1995),Drama|War,./static/Pictures/Richard III (1995).jpeg
42,Dead Presidents (1995),Action|Crime|Drama,./static/Pictures/Dead Presidents (1995).jpeg
43,Restoration (1995),Drama,./static/Pictures/Restoration (1995).jpeg
44,Mortal Kombat (1995),Action|Adventure|Fantasy,./static/Pictures/Mortal Kombat (1995).jpeg
45,To Die For (1995),Comedy|Drama|Thriller,./static/Pictures/To Die For (1995).jpeg
46,How to Make an American Quilt (1995),Drama|Romance,./static/Pictures/How to Make an American Quilt (1995).jpeg
47,Seven (a.k.a. Se7en) (1995),Mystery|Thriller,./static/Pictures/Seven (a.k.a. Se7en) (1995).jpeg
48,Pocahontas (1995),Animation|Children|Drama|Musical|Romance,./static/Pictures/Pocahontas (1995).jpeg
49,When Night Is Falling (1995),Drama|Romance,./static/Pictures/When Night Is Falling (1995).jpeg
50,"Usual Suspects, The (1995)",Crime|Mystery|Thriller,"./static/Pictures/Usual Suspects, The (1995).jpeg"
52,Mighty Aphrodite (1995),Comedy|Drama|Romance,./static/Pictures/Mighty Aphrodite (1995).jpeg
53,Lamerica (1994),Adventure|Drama,./static/Pictures/Lamerica (1994).jpeg
54,"Big Green, The (1995)",Children|Comedy,"./static/Pictures/Big Green, The (1995).jpeg"
55,Georgia (1995),Drama,./static/Pictures/Georgia (1995).jpeg
57,Home for the Holidays (1995),Drama,./static/Pictures/Home for the Holidays (1995).jpeg
58,"Postman, The (Postino, Il) (1994)",Comedy|Drama|Romance,"./static/Pictures/Postman, The (Postino, Il) (1994).jpeg"
60,"Indian in the Cupboard, The (1995)",Adventure|Children|Fantasy,"./static/Pictures/Indian in the Cupboard, The (1995).jpeg"
61,Eye for an Eye (1996),Drama|Thriller,./static/Pictures/Eye for an Eye (1996).jpeg
62,Mr. Holland's Opus (1995),Drama,./static/Pictures/Mr. Holland's Opus (1995).jpeg
63,Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),Comedy|Crime,./static/Pictures/Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996).jpeg
64,Two if by Sea (1996),Comedy|Romance,./static/Pictures/Two if by Sea (1996).jpeg
65,Bio-Dome (1996),Comedy,./static/Pictures/Bio-Dome (1996).jpeg
66,Lawnmower Man 2: Beyond Cyberspace (1996),Action|Sci-Fi|Thriller,./static/Pictures/Lawnmower Man 2: Beyond Cyberspace (1996).jpeg
68,French Twist (Gazon maudit) (1995),Comedy|Romance,./static/Pictures/French Twist (Gazon maudit) (1995).jpeg
69,Friday (1995),Comedy,./static/Pictures/Friday (1995).jpeg
70,From Dusk Till Dawn (1996),Action|Comedy|Horror|Thriller,./static/Pictures/From Dusk Till Dawn (1996).jpeg
71,Fair Game (1995),Action,./static/Pictures/Fair Game (1995).jpeg
72,Kicking and Screaming (1995),Comedy|Drama,./static/Pictures/Kicking and Screaming (1995).jpeg
73,"Misérables, Les (1995)",Drama|War,"./static/Pictures/Misérables, Les (1995).jpeg"
74,Bed of Roses (1996),Drama|Romance,./static/Pictures/Bed of Roses (1996).jpeg
75,Big Bully (1996),Comedy|Drama,./static/Pictures/Big Bully (1996).jpeg
76,Screamers (1995),Action|Sci-Fi|Thriller,./static/Pictures/Screamers (1995).jpeg
77,Nico Icon (1995),Documentary,./static/Pictures/Nico Icon (1995).jpeg
78,"Crossing Guard, The (1995)",Action|Crime|Drama|Thriller,"./static/Pictures/Crossing Guard, The (1995).jpeg"
79,"Juror, The (1996)",Drama|Thriller,"./static/Pictures/Juror, The (1996).jpeg"
80,"White Balloon, The (Badkonake sefid) (1995)",Children|Drama,"./static/Pictures/White Balloon, The (Badkonake sefid) (1995).jpeg"
81,Things to Do in Denver When You're Dead (1995),Crime|Drama|Romance,./static/Pictures/Things to Do in Denver When You're Dead (1995).jpeg
82,Antonia's Line (Antonia) (1995),Comedy|Drama,./static/Pictures/Antonia's Line (Antonia) (1995).jpeg
83,Once Upon a Time... When We Were Colored (1995),Drama|Romance,./static/Pictures/Once Upon a Time... When We Were Colored (1995).jpeg
85,Angels and Insects (1995),Drama|Romance,./static/Pictures/Angels and Insects (1995).jpeg
86,White Squall (1996),Action|Adventure|Drama,./static/Pictures/White Squall (1996).jpeg
87,Dunston Checks In (1996),Children|Comedy,./static/Pictures/Dunston Checks In (1996).jpeg
88,Black Sheep (1996),Comedy,./static/Pictures/Black Sheep (1996).jpeg
89,Nick of Time (1995),Action|Thriller,./static/Pictures/Nick of Time (1995).jpeg
92,Mary Reilly (1996),Drama|Horror|Thriller,./static/Pictures/Mary Reilly (1996).jpeg
93,Vampire in Brooklyn (1995),Comedy|Horror|Romance,./static/Pictures/Vampire in Brooklyn (1995).jpeg
94,Beautiful Girls (1996),Comedy|Drama|Romance,./static/Pictures/Beautiful Girls (1996).jpeg
95,Broken Arrow (1996),Action|Adventure|Thriller,./static/Pictures/Broken Arrow (1996).jpeg
96,In the Bleak Midwinter (1995),Comedy|Drama,./static/Pictures/In the Bleak Midwinter (1995).jpeg
97,"Hate (Haine, La) (1995)",Crime|Drama,"./static/Pictures/Hate (Haine, La) (1995).jpeg"
99,Heidi Fleiss: Hollywood Madam (1995),Documentary,./static/Pictures/Heidi Fleiss: Hollywood Madam (1995).jpeg
100,City Hall (1996),Drama|Thriller,./static/Pictures/City Hall (1996).jpeg
101,Bottle Rocket (1996),Adventure|Comedy|Crime|Romance,./static/Pictures/Bottle Rocket (1996).jpeg
102,Mr. Wrong (1996),Comedy,./static/Pictures/Mr. Wrong (1996).jpeg
103,Unforgettable (1996),Mystery|Sci-Fi|Thriller,./static/Pictures/Unforgettable (1996).jpeg
104,Happy Gilmore (1996),Comedy,./static/Pictures/Happy Gilmore (1996).jpeg
105,"Bridges of Madison County, The (1995)",Drama|Romance,"./static/Pictures/Bridges of Madison County, The (1995).jpeg"
106,Nobody Loves Me (Keiner liebt mich) (1994),Comedy|Drama,./static/Pictures/Nobody Loves Me (Keiner liebt mich) (1994).jpeg
107,Muppet Treasure Island (1996),Adventure|Children|Comedy|Musical,./static/Pictures/Muppet Treasure Island (1996).jpeg
108,Catwalk (1996),Documentary,./static/Pictures/Catwalk (1996).jpeg
110,Braveheart (1995),Action|Drama|War,./static/Pictures/Braveheart (1995).jpeg
111,Taxi Driver (1976),Crime|Drama|Thriller,./static/Pictures/Taxi Driver (1976).jpeg
112,Rumble in the Bronx (Hont faan kui) (1995),Action|Adventure|Comedy|Crime,./static/Pictures/Rumble in the Bronx (Hont faan kui) (1995).jpeg
113,Before and After (1996),Drama|Mystery,./static/Pictures/Before and After (1996).jpeg
116,Anne Frank Remembered (1995),Documentary,./static/Pictures/Anne Frank Remembered (1995).jpeg
117,"Young Poisoner's Handbook, The (1995)",Crime|Drama,"./static/Pictures/Young Poisoner's Handbook, The (1995).jpeg"
118,If Lucy Fell (1996),Comedy|Romance,./static/Pictures/If Lucy Fell (1996).jpeg
119,"Steal Big, Steal Little (1995)",Comedy,"./static/Pictures/Steal Big, Steal Little (1995).jpeg"
121,"Boys of St. Vincent, The (1992)",Drama,"./static/Pictures/Boys of St. Vincent, The (1992).jpeg"
122,Boomerang (1992),Comedy|Romance,./static/Pictures/Boomerang (1992).jpeg
123,Chungking Express (Chung Hing sam lam) (1994),Drama|Mystery|Romance,./static/Pictures/Chungking Express (Chung Hing sam lam) (1994).jpeg
125,Flirting With Disaster (1996),Comedy,./static/Pictures/Flirting With Disaster (1996).jpeg
126,"NeverEnding Story III, The (1994)",Adventure|Children|Fantasy,"./static/Pictures/NeverEnding Story III, The (1994).jpeg"
128,Jupiter's Wife (1994),Documentary,./static/Pictures/Jupiter's Wife (1994).jpeg
129,Pie in the Sky (1996),Comedy|Romance,./static/Pictures/Pie in the Sky (1996).jpeg
132,Jade (1995),Thriller,./static/Pictures/Jade (1995).jpeg
135,Down Periscope (1996),Comedy,./static/Pictures/Down Periscope (1996).jpeg
137,Man of the Year (1995),Documentary,./static/Pictures/Man of the Year (1995).jpeg
140,Up Close and Personal (1996),Drama|Romance,./static/Pictures/Up Close and Personal (1996).jpeg
141,"Birdcage, The (1996)",Comedy,"./static/Pictures/Birdcage, The (1996).jpeg"
144,"Brothers McMullen, The (1995)",Comedy,"./static/Pictures/Brothers McMullen, The (1995).jpeg"
145,Bad Boys (1995),Action|Comedy|Crime|Drama|Thriller,./static/Pictures/Bad Boys (1995).jpeg
146,"Amazing Panda Adventure, The (1995)",Adventure|Children,"./static/Pictures/Amazing Panda Adventure, The (1995).jpeg"
147,"Basketball Diaries, The (1995)",Drama,"./static/Pictures/Basketball Diaries, The (1995).jpeg"
148,"Awfully Big Adventure, An (1995)",Drama,"./static/Pictures/Awfully Big Adventure, An (1995).jpeg"
149,Amateur (1994),Crime|Drama|Thriller,./static/Pictures/Amateur (1994).jpeg
150,Apollo 13 (1995),Adventure|Drama|IMAX,./static/Pictures/Apollo 13 (1995).jpeg
151,Rob Roy (1995),Action|Drama|Romance|War,./static/Pictures/Rob Roy (1995).jpeg
152,"Addiction, The (1995)",Drama|Horror,"./static/Pictures/Addiction, The (1995).jpeg"
153,Batman Forever (1995),Action|Adventure|Comedy|Crime,./static/Pictures/Batman Forever (1995).jpeg
154,Beauty of the Day (Belle de jour) (1967),Drama,./static/Pictures/Beauty of the Day (Belle de jour) (1967).jpeg
155,Beyond Rangoon (1995),Adventure|Drama|War,./static/Pictures/Beyond Rangoon (1995).jpeg
156,Blue in the Face (1995),Comedy|Drama,./static/Pictures/Blue in the Face (1995).jpeg
157,Canadian Bacon (1995),Comedy|War,./static/Pictures/Canadian Bacon (1995).jpeg
158,Casper (1995),Adventure|Children,./static/Pictures/Casper (1995).jpeg
159,Clockers (1995),Crime|Drama|Mystery,./static/Pictures/Clockers (1995).jpeg
160,Congo (1995),Action|Adventure|Mystery|Sci-Fi,./static/Pictures/Congo (1995).jpeg
161,Crimson Tide (1995),Drama|Thriller|War,./static/Pictures/Crimson Tide (1995).jpeg
162,Crumb (1994),Documentary,./static/Pictures/Crumb (1994).jpeg
163,Desperado (1995),Action|Romance|Western,./static/Pictures/Desperado (1995).jpeg
164,Devil in a Blue Dress (1995),Crime|Film-Noir|Mystery|Thriller,./static/Pictures/Devil in a Blue Dress (1995).jpeg
165,Die Hard: With a Vengeance (1995),Action|Crime|Thriller,./static/Pictures/Die Hard: With a Vengeance (1995).jpeg
166,"Doom Generation, The (1995)",Comedy|Crime|Drama,"./static/Pictures/Doom Generation, The (1995).jpeg"
168,First Knight (1995),Action|Drama|Romance,./static/Pictures/First Knight (1995).jpeg
169,Free Willy 2: The Adventure Home (1995),Adventure|Children|Drama,./static/Pictures/Free Willy 2: The Adventure Home (1995).jpeg
170,Hackers (1995),Action|Adventure|Crime|Thriller,./static/Pictures/Hackers (1995).jpeg
171,Jeffrey (1995),Comedy|Drama,./static/Pictures/Jeffrey (1995).jpeg
172,Johnny Mnemonic (1995),Action|Sci-Fi|Thriller,./static/Pictures/Johnny Mnemonic (1995).jpeg
173,Judge Dredd (1995),Action|Crime|Sci-Fi,./static/Pictures/Judge Dredd (1995).jpeg
174,Jury Duty (1995),Comedy,./static/Pictures/Jury Duty (1995).jpeg
175,Kids (1995),Drama,./static/Pictures/Kids (1995).jpeg
176,Living in Oblivion (1995),Comedy,./static/Pictures/Living in Oblivion (1995).jpeg
177,Lord of Illusions (1995),Horror,./static/Pictures/Lord of Illusions (1995).jpeg
178,Love & Human Remains (1993),Comedy|Drama,./static/Pictures/Love & Human Remains (1993).jpeg
179,Mad Love (1995),Drama|Romance,./static/Pictures/Mad Love (1995).jpeg
180,Mallrats (1995),Comedy|Romance,./static/Pictures/Mallrats (1995).jpeg
181,Mighty Morphin Power Rangers: The Movie (1995),Action|Children,./static/Pictures/Mighty Morphin Power Rangers: The Movie (1995).jpeg
183,Mute Witness (1994),Comedy|Horror|Thriller,./static/Pictures/Mute Witness (1994).jpeg
184,Nadja (1994),Drama,./static/Pictures/Nadja (1994).jpeg
185,"Net, The (1995)",Action|Crime|Thriller,"./static/Pictures/Net, The (1995).jpeg"
186,Nine Months (1995),Comedy|Romance,./static/Pictures/Nine Months (1995).jpeg
187,Party Girl (1995),Comedy,./static/Pictures/Party Girl (1995).jpeg
188,"Prophecy, The (1995)",Fantasy|Horror|Mystery,"./static/Pictures/Prophecy, The (1995).jpeg"
189,Reckless (1995),Comedy|Fantasy,./static/Pictures/Reckless (1995).jpeg
190,Safe (1995),Thriller,./static/Pictures/Safe (1995).jpeg
191,"Scarlet Letter, The (1995)",Drama|Romance,"./static/Pictures/Scarlet Letter, The (1995).jpeg"
193,Showgirls (1995),Drama,./static/Pictures/Showgirls (1995).jpeg
194,Smoke (1995),Comedy|Drama,./static/Pictures/Smoke (1995).jpeg
195,Something to Talk About (1995),Comedy|Drama|Romance,./static/Pictures/Something to Talk About (1995).jpeg
196,Species (1995),Horror|Sci-Fi,./static/Pictures/Species (1995).jpeg
198,Strange Days (1995),Action|Crime|Drama|Mystery|Sci-Fi|Thriller,./static/Pictures/Strange Days (1995).jpeg
199,"Umbrellas of Cherbourg, The (Parapluies de Cherbourg, Les) (1964)",Drama|Musical|Romance,"./static/Pictures/Umbrellas of Cherbourg, The (Parapluies de Cherbourg, Les) (1964).jpeg"
201,Three Wishes (1995),Drama|Fantasy,./static/Pictures/Three Wishes (1995).jpeg
202,Total Eclipse (1995),Drama|Romance,./static/Pictures/Total Eclipse (1995).jpeg
203,"To Wong Foo, Thanks for Everything! Julie Newmar (1995)",Comedy,"./static/Pictures/To Wong Foo, Thanks for Everything! Julie Newmar (1995).jpeg"
204,Under Siege 2: Dark Territory (1995),Action,./static/Pictures/Under Siege 2: Dark Territory (1995).jpeg
205,Unstrung Heroes (1995),Comedy|Drama,./static/Pictures/Unstrung Heroes (1995).jpeg
206,Unzipped (1995),Documentary,./static/Pictures/Unzipped (1995).jpeg
207,"Walk in the Clouds, A (1995)",Drama|Romance,"./static/Pictures/Walk in the Clouds, A (1995).jpeg"
208,Waterworld (1995),Action|Adventure|Sci-Fi,./static/Pictures/Waterworld (1995).jpeg
209,White Man's Burden (1995),Drama,./static/Pictures/White Man's Burden (1995).jpeg
210,Wild Bill (1995),Western,./static/Pictures/Wild Bill (1995).jpeg
211,"Browning Version, The (1994)",Drama,"./static/Pictures/Browning Version, The (1994).jpeg"
212,Bushwhacked (1995),Adventure|Comedy|Crime|Mystery,./static/Pictures/Bushwhacked (1995).jpeg
213,Burnt by the Sun (Utomlyonnye solntsem) (1994),Drama,./static/Pictures/Burnt by the Sun (Utomlyonnye solntsem) (1994).jpeg
214,Before the Rain (Pred dozhdot) (1994),Drama|War,./static/Pictures/Before the Rain (Pred dozhdot) (1994).jpeg
215,Before Sunrise (1995),Drama|Romance,./static/Pictures/Before Sunrise (1995).jpeg
216,Billy Madison (1995),Comedy,./static/Pictures/Billy Madison (1995).jpeg
217,"Babysitter, The (1995)",Drama|Thriller,"./static/Pictures/Babysitter, The (1995).jpeg"
218,Boys on the Side (1995),Comedy|Drama,./static/Pictures/Boys on the Side (1995).jpeg
219,"Cure, The (1995)",Drama,"./static/Pictures/Cure, The (1995).jpeg"
220,Castle Freak (1995),Horror,./static/Pictures/Castle Freak (1995).jpeg
222,Circle of Friends (1995),Drama|Romance,./static/Pictures/Circle of Friends (1995).jpeg
223,Clerks (1994),Comedy,./static/Pictures/Clerks (1994).jpeg
224,Don Juan DeMarco (1995),Comedy|Drama|Romance,./static/Pictures/Don Juan DeMarco (1995).jpeg
225,Disclosure (1994),Drama|Thriller,./static/Pictures/Disclosure (1994).jpeg
227,Drop Zone (1994),Action|Thriller,./static/Pictures/Drop Zone (1994).jpeg
228,Destiny Turns on the Radio (1995),Comedy,./static/Pictures/Destiny Turns on the Radio (1995).jpeg
229,Death and the Maiden (1994),Drama|Thriller,./static/Pictures/Death and the Maiden (1994).jpeg
230,Dolores Claiborne (1995),Drama|Thriller,./static/Pictures/Dolores Claiborne (1995).jpeg
231,Dumb & Dumber (Dumb and Dumber) (1994),Adventure|Comedy,./static/Pictures/Dumb & Dumber (Dumb and Dumber) (1994).jpeg
232,Eat Drink Man Woman (Yin shi nan nu) (1994),Comedy|Drama|Romance,./static/Pictures/Eat Drink Man Woman (Yin shi nan nu) (1994).jpeg
233,Exotica (1994),Drama,./static/Pictures/Exotica (1994).jpeg
234,Exit to Eden (1994),Comedy,./static/Pictures/Exit to Eden (1994).jpeg
235,Ed Wood (1994),Comedy|Drama,./static/Pictures/Ed Wood (1994).jpeg
236,French Kiss (1995),Action|Comedy|Romance,./static/Pictures/French Kiss (1995).jpeg
237,Forget Paris (1995),Comedy|Romance,./static/Pictures/Forget Paris (1995).jpeg
238,Far From Home: The Adventures of Yellow Dog (1995),Adventure|Children,./static/Pictures/Far From Home: The Adventures of Yellow Dog (1995).jpeg
239,"Goofy Movie, A (1995)",Animation|Children|Comedy|Romance,"./static/Pictures/Goofy Movie, A (1995).jpeg"
240,Hideaway (1995),Thriller,./static/Pictures/Hideaway (1995).jpeg
241,Fluke (1995),Children|Drama,./static/Pictures/Fluke (1995).jpeg
242,Farinelli: il castrato (1994),Drama|Musical,./static/Pictures/Farinelli: il castrato (1994).jpeg
243,Gordy (1995),Children|Comedy|Fantasy,./static/Pictures/Gordy (1995).jpeg
246,Hoop Dreams (1994),Documentary,./static/Pictures/Hoop Dreams (1994).jpeg
247,Heavenly Creatures (1994),Crime|Drama,./static/Pictures/Heavenly Creatures (1994).jpeg
248,Houseguest (1994),Comedy,./static/Pictures/Houseguest (1994).jpeg
249,Immortal Beloved (1994),Drama|Romance,./static/Pictures/Immortal Beloved (1994).jpeg
250,Heavyweights (Heavy Weights) (1995),Children|Comedy,./static/Pictures/Heavyweights (Heavy Weights) (1995).jpeg
251,"Hunted, The (1995)",Action,"./static/Pictures/Hunted, The (1995).jpeg"
252,I.Q. (1994),Comedy|Romance,./static/Pictures/I.Q. (1994).jpeg
253,Interview with the Vampire: The Vampire Chronicles (1994),Drama|Horror,./static/Pictures/Interview with the Vampire: The Vampire Chronicles (1994).jpeg
254,Jefferson in Paris (1995),Drama,./static/Pictures/Jefferson in Paris (1995).jpeg
255,"Jerky Boys, The (1995)",Comedy,"./static/Pictures/Jerky Boys, The (1995).jpeg"
256,Junior (1994),Comedy|Sci-Fi,./static/Pictures/Junior (1994).jpeg
257,Just Cause (1995),Mystery|Thriller,./static/Pictures/Just Cause (1995).jpeg
258,"Kid in King Arthur's Court, A (1995)",Adventure|Children|Comedy|Fantasy|Romance,"./static/Pictures/Kid in King Arthur's Court, A (1995).jpeg"
259,Kiss of Death (1995),Crime|Drama|Thriller,./static/Pictures/Kiss of Death (1995).jpeg
260,Star Wars: Episode IV - A New Hope (1977),Action|Adventure|Sci-Fi,./static/Pictures/Star Wars: Episode IV - A New Hope (1977).jpeg
261,Little Women (1994),Drama,./static/Pictures/Little Women (1994).jpeg
262,"Little Princess, A (1995)",Children|Drama,"./static/Pictures/Little Princess, A (1995).jpeg"
263,Ladybird Ladybird (1994),Drama,./static/Pictures/Ladybird Ladybird (1994).jpeg
265,Like Water for Chocolate (Como agua para chocolate) (1992),Drama|Fantasy|Romance,./static/Pictures/Like Water for Chocolate (Como agua para chocolate) (1992).jpeg
266,Legends of the Fall (1994),Drama|Romance|War|Western,./static/Pictures/Legends of the Fall (1994).jpeg
267,Major Payne (1995),Comedy,./static/Pictures/Major Payne (1995).jpeg
269,My Crazy Life (Mi vida loca) (1993),Drama,./static/Pictures/My Crazy Life (Mi vida loca) (1993).jpeg
270,Love Affair (1994),Drama|Romance,./static/Pictures/Love Affair (1994).jpeg
271,Losing Isaiah (1995),Drama,./static/Pictures/Losing Isaiah (1995).jpeg
272,"Madness of King George, The (1994)",Comedy|Drama,"./static/Pictures/Madness of King George, The (1994).jpeg"
273,Mary Shelley's Frankenstein (Frankenstein) (1994),Drama|Horror|Sci-Fi,./static/Pictures/Mary Shelley's Frankenstein (Frankenstein) (1994).jpeg
274,Man of the House (1995),Comedy,./static/Pictures/Man of the House (1995).jpeg
275,Mixed Nuts (1994),Comedy,./static/Pictures/Mixed Nuts (1994).jpeg
276,Milk Money (1994),Comedy|Romance,./static/Pictures/Milk Money (1994).jpeg
277,Miracle on 34th Street (1994),Drama,./static/Pictures/Miracle on 34th Street (1994).jpeg
278,Miami Rhapsody (1995),Comedy,./static/Pictures/Miami Rhapsody (1995).jpeg
279,My Family (1995),Drama,./static/Pictures/My Family (1995).jpeg
280,Murder in the First (1995),Drama|Thriller,./static/Pictures/Murder in the First (1995).jpeg
281,Nobody's Fool (1994),Comedy|Drama|Romance,./static/Pictures/Nobody's Fool (1994).jpeg
282,Nell (1994),Drama,./static/Pictures/Nell (1994).jpeg
283,New Jersey Drive (1995),Crime|Drama,./static/Pictures/New Jersey Drive (1995).jpeg
284,New York Cop (Nyû Yôku no koppu) (1993),Action|Crime,./static/Pictures/New York Cop (Nyû Yôku no koppu) (1993).jpeg
285,Beyond Bedlam (1993),Drama|Horror,./static/Pictures/Beyond Bedlam (1993).jpeg
287,Nina Takes a Lover (1994),Comedy|Romance,./static/Pictures/Nina Takes a Lover (1994).jpeg
288,Natural Born Killers (1994),Action|Crime|Thriller,./static/Pictures/Natural Born Killers (1994).jpeg
289,Only You (1994),Comedy|Romance,./static/Pictures/Only You (1994).jpeg
290,Once Were Warriors (1994),Crime|Drama,./static/Pictures/Once Were Warriors (1994).jpeg
291,Poison Ivy II (1996),Drama|Thriller,./static/Pictures/Poison Ivy II (1996).jpeg
292,Outbreak (1995),Action|Drama|Sci-Fi|Thriller,./static/Pictures/Outbreak (1995).jpeg
293,Léon: The Professional (a.k.a. The Professional) (Léon) (1994),Action|Crime|Drama|Thriller,./static/Pictures/Léon: The Professional (a.k.a. The Professional) (Léon) (1994).jpeg
294,"Perez Family, The (1995)",Comedy|Romance,"./static/Pictures/Perez Family, The (1995).jpeg"
295,"Pyromaniac's Love Story, A (1995)",Comedy|Romance,"./static/Pictures/Pyromaniac's Love Story, A (1995).jpeg"
296,Pulp Fiction (1994),Comedy|Crime|Drama|Thriller,./static/Pictures/Pulp Fiction (1994).jpeg
298,Pushing Hands (Tui shou) (1992),Drama,./static/Pictures/Pushing Hands (Tui shou) (1992).jpeg
299,Priest (1994),Drama,./static/Pictures/Priest (1994).jpeg
300,Quiz Show (1994),Drama,./static/Pictures/Quiz Show (1994).jpeg
301,Picture Bride (Bijo photo) (1994),Drama|Romance,./static/Pictures/Picture Bride (Bijo photo) (1994).jpeg
302,"Queen Margot (Reine Margot, La) (1994)",Drama|Romance,"./static/Pictures/Queen Margot (Reine Margot, La) (1994).jpeg"
303,"Quick and the Dead, The (1995)",Action|Thriller|Western,"./static/Pictures/Quick and the Dead, The (1995).jpeg"
304,Roommates (1995),Comedy|Drama,./static/Pictures/Roommates (1995).jpeg
305,Ready to Wear (Pret-A-Porter) (1994),Comedy,./static/Pictures/Ready to Wear (Pret-A-Porter) (1994).jpeg
306,Three Colors: Red (Trois couleurs: Rouge) (1994),Drama,./static/Pictures/Three Colors: Red (Trois couleurs: Rouge) (1994).jpeg
307,Three Colors: Blue (Trois couleurs: Bleu) (1993),Drama,./static/Pictures/Three Colors: Blue (Trois couleurs: Bleu) (1993).jpeg
308,Three Colors: White (Trzy kolory: Bialy) (1994),Comedy|Drama,./static/Pictures/Three Colors: White (Trzy kolory: Bialy) (1994).jpeg
310,Rent-a-Kid (1995),Comedy,./static/Pictures/Rent-a-Kid (1995).jpeg
311,Relative Fear (1994),Horror|Thriller,./static/Pictures/Relative Fear (1994).jpeg
312,Stuart Saves His Family (1995),Comedy,./static/Pictures/Stuart Saves His Family (1995).jpeg
313,"Swan Princess, The (1994)",Animation|Children,"./static/Pictures/Swan Princess, The (1994).jpeg"
314,"Secret of Roan Inish, The (1994)",Children|Drama|Fantasy|Mystery,"./static/Pictures/Secret of Roan Inish, The (1994).jpeg"
315,"Specialist, The (1994)",Action|Drama|Thriller,"./static/Pictures/Specialist, The (1994).jpeg"
316,Stargate (1994),Action|Adventure|Sci-Fi,./static/Pictures/Stargate (1994).jpeg
